index,ds,y,yhat1,trend,season_yearly,season_weekly
120,2018-05-01,183,178.7142,178.66315,25.005062,-24.953995
121,2018-05-02,214,198.6062,178.61072,25.661251,-5.6657457
122,2018-05-03,190,222.75629,178.55827,26.289295,17.908714
123,2018-05-04,247,233.36208,178.50583,26.881626,27.974623
124,2018-05-05,226,222.87788,178.4534,27.443424,16.98106
125,2018-05-06,176,199.60057,178.40096,27.969057,-6.7694416
126,2018-05-07,195,181.3537,178.34853,28.462091,-25.456928
127,2018-05-08,179,182.26376,178.29608,28.921452,-24.95377
128,2018-05-09,209,201.92331,178.24365,29.344921,-5.665258
129,2018-05-10,232,225.81606,178.19122,29.73675,17.888094
130,2018-05-11,208,236.21074,178.13878,30.09736,27.974611
131,2018-05-12,224,225.49384,178.08633,30.426834,16.980663
132,2018-05-13,157,201.96408,178.0339,30.726603,-6.7964354
133,2018-05-14,196,183.52597,177.98146,31.00165,-25.457136
134,2018-05-15,187,184.24033,177.92902,31.25248,-24.941172
135,2018-05-16,190,203.69347,177.87659,31.481632,-5.66477
136,2018-05-17,220,227.40756,177.82416,31.694931,17.88848
137,2018-05-18,223,237.63942,177.77173,31.892529,27.975168
138,2018-05-19,255,226.78151,177.71928,32.081955,16.980267
139,2018-05-20,166,203.13423,177.66684,32.26431,-6.796919
140,2018-05-21,167,184.60236,177.61441,32.44529,-25.45734
141,2018-05-22,198,185.2369,177.56198,32.628235,-24.953318
142,2018-05-23,201,204.6911,177.50955,32.81908,-5.63752
143,2018-05-24,213,228.38887,177.45709,33.021904,17.909864
144,2018-05-25,250,238.62038,177.40466,33.240555,27.975159
145,2018-05-26,259,227.8345,177.35223,33.480694,17.001581
146,2018-05-27,155,204.24889,177.29979,33.746506,-6.797402
147,2018-05-28,194,185.83134,177.24734,34.041534,-25.457548
148,2018-05-29,193,186.6127,177.19492,34.370872,-24.953093
149,2018-05-30,177,206.21704,177.14249,34.738354,-5.6637926
150,2018-05-31,214,230.14728,177.09004,35.146984,17.910248
151,2018-06-01,263,240.61282,177.03761,35.60063,27.974579
152,2018-06-02,274,230.06685,176.98517,36.1022,16.979473
153,2018-06-03,176,206.81451,176.93274,36.65315,-6.771376
154,2018-06-04,208,188.67963,176.8803,37.257088,-25.457754
155,2018-06-05,218,189.78949,176.82785,37.91449,-24.952868
156,2018-06-06,186,209.7378,176.77542,38.625675,-5.663304
157,2018-06-07,234,234.00494,176.72299,39.392338,17.88963
158,2018-06-08,251,244.85954,176.67055,40.214428,27.974571
159,2018-06-09,256,234.68547,176.6181,41.088276,16.979076
160,2018-06-10,172,211.78403,176.56567,42.016712,-6.7983694
161,2018-06-11,227,194.05061,176.51324,42.99534,-25.457962
162,2018-06-12,217,195.54022,176.4608,44.01969,-24.940266
163,2018-06-13,224,215.8369,176.40836,45.091343,-5.6628165
164,2018-06-14,220,240.44893,176.35593,46.20299,17.89001
165,2018-06-15,244,251.62732,176.3035,47.348698,27.975128
166,2018-06-16,256,241.75667,176.25105,48.526947,16.978682
167,2018-06-17,190,219.13158,176.19862,49.731815,-6.7988524
168,2018-06-18,199,201.64392,176.14618,50.955917,-25.458168
169,2018-06-19,203,203.3777,176.13611,52.194004,-24.952415
170,2018-06-20,225,223.96436,176.16235,53.437565,-5.6355658
171,2018-06-21,245,248.78014,176.1886,54.68015,17.911398
172,2018-06-22,240,260.1051,176.21484,55.91515,27.975117
173,2018-06-23,263,250.37688,176.24109,57.1358,16.999996
174,2018-06-24,188,227.80083,176.26733,58.332844,-6.7993374
175,2018-06-25,200,210.33423,176.29356,59.499027,-25.458374
176,2018-06-26,195,211.99242,176.31982,60.624798,-24.95219
177,2018-06-27,226,232.38818,176.34605,61.703964,-5.66184
178,2018-06-28,213,257.01263,176.3723,62.728546,17.91178
179,2018-06-29,260,268.06665,176.39853,63.693558,27.974539
180,2018-06-30,266,257.98962,176.42479,64.586945,16.977888
181,2018-07-01,206,235.08298,176.45103,65.40525,-6.7733107
182,2018-07-02,202,217.17036,176.47726,66.14032,-25.447231
183,2018-07-03,198,218.33739,176.50351,66.785835,-24.951965
184,2018-07-04,215,238.20686,176.52975,67.33847,-5.661351
185,2018-07-05,261,262.2397,176.556,67.79251,17.891161
186,2018-07-06,253,272.69873,176.58224,68.14137,27.9751
187,2018-07-07,258,261.96906,176.60849,68.383064,16.977491
188,2018-07-08,202,238.3497,176.63474,68.515274,-6.8003035
189,2018-07-09,230,219.7362,176.66098,68.53401,-25.45879
190,2018-07-10,209,220.1626,176.68723,68.43947,-24.964092
191,2018-07-11,217,239.28235,176.71347,68.22974,-5.660864
192,2018-07-12,264,262.53586,176.73972,67.90461,17.891546
193,2018-07-13,265,272.20697,176.76595,67.46593,27.975084
194,2018-07-14,295,260.70633,176.79219,66.91533,16.998808
195,2018-07-15,197,236.2717,176.81845,66.25404,-6.8007884
196,2018-07-16,201,216.87201,176.84468,65.48632,-25.458996
197,2018-07-17,211,216.53583,176.87093,64.61641,-24.951513
198,2018-07-18,243,234.88441,176.89716,63.647617,-5.6603737
199,2018-07-19,260,257.4221,176.92342,62.585762,17.91293
200,2018-07-20,262,266.3632,176.94965,61.438454,27.975077
201,2018-07-21,275,254.18279,176.97589,60.20846,16.998411
202,2018-07-22,183,229.13416,177.00214,58.906784,-6.7747636
203,2018-07-23,195,209.10876,177.02838,57.539585,-25.459204
204,2018-07-24,205,208.2163,177.05463,56.112946,-24.951286
205,2018-07-25,246,226.06006,177.08087,54.63907,-5.6598873
206,2018-07-26,247,248.11919,177.10712,53.119766,17.892311
207,2018-07-27,258,256.67828,177.13336,51.57044,27.974493
208,2018-07-28,264,244.134,177.1596,49.998085,16.976305
209,2018-07-29,177,218.82106,177.18585,48.41045,-6.7752466
210,2018-07-30,200,198.5787,177.2121,46.814667,-25.448061
211,2018-07-31,208,197.50981,177.23834,45.22254,-24.951061
212,2018-08-01,203,215.2442,177.26457,43.639023,-5.6593995
213,2018-08-02,214,237.25952,177.29082,42.076004,17.892694
214,2018-08-03,246,245.83241,177.31706,40.540283,27.975056
215,2018-08-04,239,233.35588,177.3433,39.036663,16.975908
216,2018-08-05,188,208.14143,177.36954,37.574127,-6.802239
217,2018-08-06,183,188.09372,177.39578,36.157547,-25.459616
218,2018-08-07,219,187.25354,177.42204,34.79469,-24.963192
219,2018-08-08,190,205.27914,177.44827,33.489777,-5.6589108
220,2018-08-09,206,227.61415,177.47452,32.246555,17.893078
221,2018-08-10,231,236.54614,177.50076,31.070332,27.975046
222,2018-08-11,250,224.48404,177.52701,29.959799,16.997225
223,2018-08-12,153,199.67203,177.55325,28.921497,-6.802721
224,2018-08-13,170,180.07458,177.5795,27.954905,-25.459822
225,2018-08-14,212,179.75873,177.64635,27.062996,-24.95061
226,2018-08-15,222,198.36154,177.77815,26.241816,-5.6584234
227,2018-08-16,208,221.31715,177.90997,25.492716,17.914461
228,2018-08-17,233,230.83032,178.04178,24.81351,27.975035
229,2018-08-18,232,219.3707,178.17358,24.200289,16.996828
230,2018-08-19,165,195.18294,178.30539,23.65423,-6.7766967
231,2018-08-20,185,176.14166,178.43721,23.16449,-25.460032
232,2018-08-21,202,176.35342,178.56903,22.734795,-24.950384
233,2018-08-22,218,195.39757,178.70084,22.354671,-5.6579347
234,2018-08-23,237,218.74794,178.83264,22.021442,17.893845
235,2018-08-24,210,228.66666,178.96446,21.72773,27.974453
236,2018-08-25,279,217.53885,179.09628,21.467857,16.974718
237,2018-08-26,175,193.68698,179.22809,21.236076,-6.7771807
238,2018-08-27,176,174.93564,179.3599,21.024624,-25.44889
239,2018-08-28,195,175.36871,179.49171,20.827171,-24.950161
240,2018-08-29,217,194.60237,179.62354,20.636295,-5.657447
241,2018-08-30,235,218.09729,179.75534,20.447718,17.894228
242,2018-08-31,199,228.1139,179.88715,20.25174,27.975018
243,2018-09-01,227,217.03563,180.01895,20.042336,16.974321
244,2018-09-02,134,193.16261,180.15077,19.81601,-6.8041735
245,2018-09-03,187,174.38522,180.2826,19.56309,-25.460445
246,2018-09-04,169,174.73145,180.4144,19.27935,-24.96229
247,2018-09-05,199,193.84985,180.5462,18.960594,-5.656957
248,2018-09-06,210,217.17534,180.67802,18.602709,17.894611
249,2018-09-07,196,226.98444,180.80984,18.1996,27.975004
250,2018-09-08,229,215.68765,180.94165,17.750362,16.99564
251,2018-09-09,158,191.51852,181.07346,17.249718,-6.8046565
252,2018-09-10,191,172.44177,181.20528,16.697145,-25.460653
253,2018-09-11,187,172.47858,181.3371,16.091202,-24.949709
254,2018-09-12,196,191.24489,181.4689,15.432457,-5.6564703
255,2018-09-13,203,214.23634,181.60071,14.719634,17.915993
256,2018-09-14,222,223.6613,181.73251,13.953784,27.974995
257,2018-09-15,229,211.99734,181.86433,13.137761,16.995245
258,2018-09-16,136,187.49115,181.99615,12.273633,-6.7786317
259,2018-09-17,165,168.03073,182.12796,11.363636,-25.460857
260,2018-09-18,151,167.72327,182.25977,10.41299,-24.949484
261,2018-09-19,203,186.16174,182.39159,9.426146,-5.6559815
262,2018-09-20,164,208.82593,182.5234,8.407145,17.895378
263,2018-09-21,219,217.99277,182.65521,7.3631473,27.974407
264,2018-09-22,235,206.0601,182.78702,6.2999434,16.973133
265,2018-09-23,176,181.36255,182.91884,5.2228293,-6.7791157
266,2018-09-24,176,161.74278,183.05064,4.141852,-25.44972
267,2018-09-25,175,161.29333,183.18246,3.0601318,-24.949255
268,2018-09-26,199,179.64804,183.31427,1.989267,-5.655493
269,2018-09-27,183,202.27715,183.44608,0.9353015,17.895761
270,2018-09-28,216,211.45877,183.5779,-0.09409057,27.974974
271,2018-09-29,217,199.59042,183.70972,-1.0920249,16.972736
272,2018-09-30,141,174.98639,183.84152,-2.0490315,-6.806107
273,2018-10-01,159,155.55328,183.97333,-2.9587836,-25.461271
274,2018-10-02,178,155.32912,184.10515,-3.8146381,-24.961391
275,2018-10-03,189,173.97403,184.23697,-4.60791,-5.6550055
276,2018-10-04,203,196.92957,184.36877,-5.3353386,17.896145
277,2018-10-05,187,206.48735,184.50058,-5.9881983,27.974964
278,2018-10-06,200,195.06451,184.63239,-6.561936,16.994057
279,2018-10-07,150,170.90431,184.76419,-7.053295,-6.8065906
280,2018-10-08,162,151.97742,184.89601,-7.4571266,-25.46148
281,2018-10-09,174,152.30835,185.02808,-7.7709236,-24.948803
282,2018-10-10,185,171.51556,185.16101,-7.9909296,-5.6545167
283,2018-10-11,190,195.09245,185.29395,-8.119023,17.917524
284,2018-10-12,220,205.25092,185.42688,-8.150914,27.974955
285,2018-10-13,198,194.46484,185.55981,-8.088635,16.99366
286,2018-10-14,150,170.97906,185.69275,-7.933116,-6.780567
287,2018-10-15,172,152.67853,185.82567,-7.685469,-25.461685
288,2018-10-16,153,153.65862,185.95862,-7.3514194,-24.948578
289,2018-10-17,192,173.50494,186.09154,-6.932571,-5.654028
290,2018-10-18,174,197.68631,186.22446,-6.4350753,17.89691
291,2018-10-19,210,208.46896,186.35739,-5.862799,27.974367
292,2018-10-20,207,198.23842,186.49033,-5.223457,16.971546
293,2018-10-21,110,175.3193,186.62326,-4.522899,-6.78105
294,2018-10-22,163,157.53348,186.7562,-3.7721689,-25.450548
295,2018-10-23,167,158.951,186.88913,-2.977398,-24.960714
296,2018-10-24,177,179.22104,187.02205,-2.1474805,-5.6535378
297,2018-10-25,174,203.75827,187.15498,-1.2940003,17.897295
298,2018-10-26,210,214.8381,187.28792,-0.42473882,27.974934
299,2018-10-27,198,204.8626,187.42084,0.44888645,16.992867
300,2018-10-28,136,182.06126,187.55377,1.3155292,-6.8080416
301,2018-10-29,157,164.38754,187.6867,2.162931,-25.462097
302,2018-10-30,171,165.84497,187.81964,2.9858253,-24.96049
303,2018-10-31,181,186.0412,187.95258,3.768445,-5.67981
304,2018-11-01,244,210.48355,188.08551,4.500389,17.897676
305,2018-11-02,223,221.3662,188.21843,5.172834,27.974922
306,2018-11-03,226,211.11716,188.35135,5.773322,16.992472
307,2018-11-04,162,187.99615,188.4843,6.293876,-6.782018
308,2018-11-05,175,169.87892,188.61722,6.7240114,-25.462305
309,2018-11-06,173,170.85867,188.75015,7.05642,-24.947903
310,2018-11-07,167,190.5108,188.88309,7.2802806,-5.6525617
311,2018-11-08,231,214.28421,189.01602,7.3911376,17.877048
312,2018-11-09,226,224.5031,189.14896,7.3792357,27.974913
313,2018-11-10,255,213.51353,189.28186,7.2395854,16.992077
314,2018-11-11,162,189.60283,189.41481,6.97052,-6.7825017
315,2018-11-12,163,170.65906,189.54773,6.562497,-25.451172
316,2018-11-13,180,170.74878,189.68066,6.015785,-24.947678
317,2018-11-14,186,189.48917,189.8136,5.3276324,-5.6520753
318,2018-11-15,200,212.3431,189.94653,4.498116,17.898445
319,2018-11-16,205,221.57938,190.07947,3.5250185,27.974903
320,2018-11-17,225,209.59294,190.21239,2.4105952,16.969961
321,2018-11-18,158,184.72064,190.34534,1.1583049,-6.782986
322,2018-11-19,194,164.79474,190.47824,-0.23213236,-25.451376
323,2018-11-20,185,163.89722,190.61118,-1.7541631,-24.959812
324,2018-11-21,203,181.68906,190.74411,-3.4034777,-5.6515875
325,2018-11-22,189,203.60213,190.87704,-5.173737,17.898827
326,2018-11-23,225,211.92618,191.00998,-7.0586877,27.974894
327,2018-11-24,236,199.08583,191.14291,-9.048363,16.991283
328,2018-11-25,174,173.32635,191.27583,-11.139518,-6.809976
329,2018-11-26,184,152.6268,191.40877,-13.319039,-25.462927
330,2018-11-27,181,151.00189,191.54169,-15.580212,-24.959589
331,2018-11-28,205,168.08966,191.67462,-17.907106,-5.6778584
332,2018-11-29,196,189.412,191.80756,-20.294762,17.89921
333,2018-11-30,225,197.18558,191.94049,-22.729786,27.974882
334,2018-12-01,181,183.86298,192.07343,-25.201326,16.990887
335,2018-12-02,104,157.72247,192.20636,-27.699938,-6.7839527
336,2018-12-03,144,136.6646,192.33928,-30.211554,-25.46313
337,2018-12-04,143,134.80287,192.47452,-32.724655,-24.947
338,2018-12-05,157,151.7601,192.6374,-35.226692,-5.650611
339,2018-12-06,155,172.96965,192.80031,-37.70924,17.878582
340,2018-12-07,156,180.77597,192.9632,-40.16209,27.974873
341,2018-12-08,157,167.5456,193.1261,-42.570995,16.990492
342,2018-12-09,84,141.57619,193.28899,-44.928364,-6.784437
343,2018-12-10,129,120.77822,193.45187,-47.221664,-25.452
344,2018-12-11,129,119.22259,193.61478,-49.445427,-24.946772
345,2018-12-12,110,136.53888,193.77768,-51.588676,-5.650122
346,2018-12-13,155,158.19406,193.94058,-53.64649,17.899977
347,2018-12-14,160,166.47311,194.10347,-55.605217,27.974863
348,2018-12-15,147,153.7682,194.26636,-57.466534,16.968376
349,2018-12-16,113,128.4237,194.42926,-59.22063,-6.78492
350,2018-12-17,129,108.27822,194.59215,-60.861725,-25.452206
351,2018-12-18,141,107.405365,194.75505,-62.390785,-24.95891
352,2018-12-19,128,125.46738,194.91794,-63.80093,-5.6496325
353,2018-12-20,159,147.89015,195.08084,-65.09105,17.90036
354,2018-12-21,159,156.95947,195.24374,-66.25911,27.97485
355,2018-12-22,155,145.08943,195.40663,-67.3069,16.9897
356,2018-12-23,102,120.52413,195.56952,-68.23348,-6.8119106
357,2018-12-24,132,101.22865,195.73242,-69.04001,-25.463753
358,2018-12-25,124,101.206894,195.89532,-69.72974,-24.958687
359,2018-12-26,127,120.07849,196.0582,-70.30381,-5.6759057
360,2018-12-27,168,143.35342,196.2211,-70.76843,17.900743
361,2018-12-28,156,153.23442,196.384,-71.12442,27.974838
362,2018-12-29,168,142.15758,196.5469,-71.378624,16.989304
363,2018-12-30,106,118.38871,196.7098,-71.535194,-6.7858877
364,2018-12-31,131,99.80781,196.87268,-71.60092,-25.463957
365,2019-01-01,109,100.508224,197.03558,-71.581276,-24.946095
366,2019-01-02,128,120.06781,197.19847,-71.481995,-5.648656
367,2019-01-03,146,143.93076,197.36137,-71.31074,17.880117
368,2019-01-04,155,154.42487,197.52426,-71.074234,27.97483
369,2019-01-05,179,143.89809,197.68716,-70.77799,16.988907
370,2019-01-06,135,120.63375,197.85007,-70.42994,-6.7863703
371,2019-01-07,106,102.52199,198.01295,-70.03813,-25.452827
372,2019-01-08,131,103.62293,198.17586,-69.607056,-24.945871
373,2019-01-09,127,123.5461,198.33875,-69.14448,-5.6481686
374,2019-01-10,151,147.74683,198.50165,-68.65633,17.901508
375,2019-01-11,159,158.4906,198.66454,-68.148766,27.97482
376,2019-01-12,163,148.1658,198.82742,-67.62842,16.966791
377,2019-01-13,97,125.10449,198.99033,-67.09898,-6.7868547
378,2019-01-14,137,107.13395,199.15323,-66.56624,-25.453033
379,2019-01-15,127,108.32271,199.31613,-66.0354,-24.95801
380,2019-01-16,157,128.32259,199.479,-65.50874,-5.6476808
381,2019-01-17,149,152.55333,199.6419,-64.99046,17.901894
382,2019-01-18,145,163.29526,199.8048,-64.48434,27.97481
383,2019-01-19,169,152.96475,199.9677,-63.991062,16.988115
384,2019-01-20,105,129.80354,200.13058,-63.513187,-6.813844
385,2019-01-21,103,111.776375,200.29349,-63.052532,-25.464579
386,2019-01-22,132,112.89006,200.45639,-62.60854,-24.957785
387,2019-01-23,140,132.76369,200.61926,-62.181637,-5.6739516
388,2019-01-24,180,156.91226,200.78218,-61.772182,17.902275
389,2019-01-25,173,167.54099,200.94507,-61.37888,27.9748
390,2019-01-26,163,157.09613,201.10797,-60.999557,16.987719
391,2019-01-27,107,133.84866,201.27084,-60.63437,-6.7878227
392,2019-01-28,110,115.6909,201.43375,-60.278065,-25.464785
393,2019-01-29,130,116.72104,201.59665,-59.93041,-24.945194
394,2019-01-30,157,136.43378,201.66882,-59.588337,-5.6467047
395,2019-01-31,153,160.36684,201.73343,-59.24824,17.881649
396,2019-02-01,171,170.86642,201.79803,-58.90641,27.974787
397,2019-02-02,163,160.29025,201.86264,-58.559715,16.98732
398,2019-02-03,113,136.93385,201.92725,-58.20509,-6.788307
399,2019-02-04,147,118.70047,201.99187,-57.83774,-25.453655
400,2019-02-05,168,119.65738,202.05649,-57.454136,-24.944965
401,2019-02-06,175,139.42346,202.1211,-57.051403,-5.6462145
402,2019-02-07,165,163.46327,202.1857,-56.625477,17.903044
403,2019-02-08,178,174.0521,202.2503,-56.172997,27.974777
404,2019-02-09,184,163.63226,202.31491,-55.691296,17.008633
405,2019-02-10,121,140.41632,202.37953,-55.17443,-6.7887883
406,2019-02-11,132,122.36699,202.44414,-54.623295,-25.453861
407,2019-02-12,126,123.51773,202.50876,-54.03391,-24.95711
408,2019-02-13,139,143.4975,202.57336,-53.40338,-5.6724877
409,2019-02-14,169,167.81027,202.63797,-52.731133,17.903425
410,2019-02-15,164,178.6623,202.70258,-52.01506,27.97477
411,2019-02-16,193,168.50226,202.76718,-51.251472,16.98653
412,2019-02-17,106,145.59715,202.8318,-50.445377,-6.7892733
413,2019-02-18,144,127.838394,202.89642,-49.592606,-25.465405
414,2019-02-19,145,129.3128,202.96103,-48.69133,-24.956884
415,2019-02-20,161,149.60555,203.02563,-47.748085,-5.672
416,2019-02-21,191,174.21524,203.09024,-46.75779,17.882801
417,2019-02-22,175,185.4053,203.15485,-45.724304,27.974756
418,2019-02-23,183,175.55396,203.21947,-44.65166,16.986134
419,2019-02-24,131,152.956,203.28407,-43.53832,-6.7897577
420,2019-02-25,155,135.5077,203.3487,-42.386707,-25.454277
421,2019-02-26,180,137.27023,203.4133,-41.19877,-24.944288
422,2019-02-27,137,157.85208,203.4779,-39.981083,-5.6447515
423,2019-02-28,175,182.69179,203.54251,-38.733917,17.883184
424,2019-03-01,199,194.11954,203.60712,-37.462894,27.975306
425,2019-03-02,217,184.48915,203.67174,-36.168324,16.985739
426,2019-03-03,169,162.0927,203.73636,-34.853413,-6.7902403
427,2019-03-04,166,144.82123,203.80096,-33.525257,-25.454483
428,2019-03-05,210,146.7252,203.86557,-32.18393,-24.956432
429,2019-03-06,185,167.44992,203.93018,-30.836002,-5.644263
430,2019-03-07,174,192.41571,203.99478,-29.483662,17.904575
